gameId,attendance
22200246,20244
22200243,18241
22200244,19432
22200245,18055
22200241,14289
22200242,17866
22200240,17071
22200239,18581
22200238,19595
22200237,20515
22200236,14478
22200235,18051
22200234,18095
22200233,18064
22200232,18206
22200230,20135
22200231,17828
22200227,21031
22200228,15882
22200229,17324
22200225,19432
22200226,19769
22200224,18772
22200221,19393
22200222,16522
22200219,18210
22200220,17071
22200218,19602
22200214,18165
22200211,14756
22200212,16527
22200213,12630
22200209,19012
22200210,17611
22200208,18206
22200207,19810
22200206,14032
22200205,18064
22200204,17341
22200201,19156
22200202,19600
22200199,16988
22200200,15018
22200198,18040
22200197,16410
22200196,21602
22200195,19761
22200193,19432
22200194,17667
22200192,18325
22200190,20277
22200191,15367
22200189,19600
22200188,20245
22200186,20190
22200187,13089
22200184,17777
22200183,17849
22200182,18064
22200181,16939
22200179,16104
22200180,15642
22200178,19812
22200177,15879
22200173,16066
22200174,19600
22200172,18320
22200170,19068
22200166,19621
22200167,16062
22200168,15180
22200169,13507
22200162,15845
22200163,19156
22200164,18156
22200165,19800
22200159,14774
22200160,14069
22200161,18165
22200158,16516
22200157,18206
22200156,18064
22200155,20011
22200154,11574
22200153,14524
22200152,17371
22200151,21142
22200148,20347
22200147,14052
22200146,16223
22200145,15441
22200144,13712
22200143,16111
22200142,16877
22200140,18997
22200139,17071
22200138,19641
22200136,17713
22200137,16412
22200134,17654
22200135,19812
22200133,19398
22200132,18846
22200131,18997
22200129,17136
22200130,17071
22200127,20177
22200128,18451
22200125,17187
22200126,12603
22200124,19156
22200120,18744
22200121,13141
22200122,20679
22200123,17258
22200119,13791
22200118,18846
22200117,18997
22200116,19462
22200115,19877
22200111,17886
22200113,17341
22200114,12155
22200107,19432
22200109,19600
22200110,19812
22200108,19855
22200106,17071
22200105,13109
22200103,17732
22200104,19600
22200102,14887
22200101,18206
22200100,17341
22200098,15770
22200099,19800
22200096,12020
22200097,13746
22200095,18997
22200094,17071
22200093,20042
22200092,15053
22200089,19156
22200090,19432
22200091,20190
22200088,18142
22200087,18206
22200084,19010
22200085,17341
22200083,17732
22200082,19079
22200081,14618
22200079,17071
22200080,19082
22200078,19560
22200077,16562
22200075,17341
22200076,17136
22200072,19156
22200073,19800
22200074,13463
22200070,18923
22200071,18846
22200068,18064
22200069,15511
22200067,14510
22200066,18039
22200064,19520
22200065,18588
22200063,18206
22200061,18306
22200062,16165
22200058,19812
22200059,19800
22200060,17341
22200057,17987
22200055,17071
22200054,13105
22200053,14020
22200052,13196
22200051,18111
22200047,17673
22200048,16260
22200049,17392
22200050,15347
22200046,18800
22200044,19786
22200043,19068
22200042,18064
22200041,15044
22200039,19432
22200040,18665
22200038,17383
22200037,18997
22200036,16296
22200035,19983
22200034,20377
22200031,19600
22200032,21089
22200033,17341
22200029,16056
22200030,19299
22200028,19822
22200027,19393
22200024,18055
22200025,17136
22200020,17822
22200022,19600
22200023,19812
22200018,12073
22200019,20476
22200016,18997
22200015,20060
22200013,17071
22200014,17611
22200012,18206
22200010,17136
22200011,16236
22200005,17878
22200006,18003
22200007,19600
22200008,19800
22200009,18202
22200003,20190
22200004,15027
22200002,18064
22200001,19156
42100406,19156
42100405,18064
42100404,19156
42100403,19156
42100401,18064
42100307,20200
42100306,19156
42100315,18064
42100305,19819
42100314,20810
42100313,20813
42100303,19156
42100312,18064
42100302,20100
42100311,18064
42100301,19774
42100227,17071
42100217,19156
42100236,18064
42100216,17681
42100226,20777
42100206,21082
42100235,17794
