arenaName,teamId,teamCity,teamName,games,mean_delta
Crypto.com Arena,1610612751,Brooklyn,Nets,1,145.8
Crypto.com Arena,1610612752,New York,Knicks,1,145.8
Crypto.com Arena,1610612753,Orlando,Magic,1,145.8
Crypto.com Arena,1610612756,Phoenix,Suns,2,145.8
Crypto.com Arena,1610612761,Toronto,Raptors,1,145.8
Crypto.com Arena,1610612763,Memphis,Grizzlies,2,145.8
Crypto.com Arena,1610612764,Washington,Wizards,1,145.8
Crypto.com Arena,1610612765,Detroit,Pistons,1,145.8
Crypto.com Arena,1610612766,Charlotte,Hornets,1,145.8
Crypto.com Arena,1610612762,Utah,Jazz,2,40.2
Crypto.com Arena,1610612745,Houston,Rockets,4,36.4
Crypto.com Arena,1610612742,Dallas,Mavericks,2,-17.2
Crypto.com Arena,1610612748,Miami,Heat,1,-24.4
Crypto.com Arena,1610612750,Minnesota,Timberwolves,2,-36.2
Crypto.com Arena,1610612760,Oklahoma City,Thunder,4,-49.6
Crypto.com Arena,1610612741,Chicago,Bulls,1,-62.3
Crypto.com Arena,1610612759,San Antonio,Spurs,3,-73.6
Crypto.com Arena,1610612737,Atlanta,Hawks,1,-100.2
Crypto.com Arena,1610612755,Philadelphia,76ers,1,-126.9
Crypto.com Arena,1610612758,Sacramento,Kings,2,-225.8
Crypto.com Arena,1610612740,New Orleans,Pelicans,2,-326.8
Crypto.com Arena,1610612757,Portland,Trail Blazers,1,-351.4
Crypto.com Arena,1610612754,Indiana,Pacers,1,-698.8
Delta Center,1610612737,Atlanta,Hawks,1,0.0
Delta Center,1610612738,Boston,Celtics,1,0.0
Delta Center,1610612739,Cleveland,Cavaliers,1,0.0
Delta Center,1610612740,New Orleans,Pelicans,2,0.0
Delta Center,1610612741,Chicago,Bulls,1,0.0
Delta Center,1610612742,Dallas,Mavericks,2,0.0
Delta Center,1610612743,Denver,Nuggets,1,0.0
Delta Center,1610612744,Golden State,Warriors,2,0.0
