season,building,teamId,teamCity,teamName,games,mean_delta
1980,Madison Square Garden,1610612760,Seattle,SuperSonics,1,5991.4
1980,Madison Square Garden,1610612755,Philadelphia,76ers,3,5945.1
1980,Madison Square Garden,1610612749,Milwaukee,Bucks,1,1424.9
1980,Madison Square Garden,1610612764,Washington,Bullets,2,-240.1
1980,Madison Square Garden,1610612759,San Antonio,Spurs,3,-1103.3
1980,Madison Square Garden,1610612744,Golden State,Warriors,1,-1119.8
1980,Madison Square Garden,1610612741,Chicago,Bulls,1,-1221.7
1980,Madison Square Garden,1610612743,Denver,Nuggets,1,-1268.0
1980,Madison Square Garden,1610612758,Kansas City,Kings,1,-1436.8
1980,Madison Square Garden,1610612751,New Jersey,Nets,2,-1472.3
1980,Madison Square Garden,1610612746,San Diego,Clippers,1,-1589.2
1980,Madison Square Garden,1610612756,Phoenix,Suns,1,-1932.0
1980,Madison Square Garden,1610612737,Atlanta,Hawks,3,-2189.0
1980,Madison Square Garden,1610612739,Cleveland,Cavaliers,3,-2354.4
1980,Madison Square Garden,1610612762,Utah,Jazz,1,-2633.0
1980,Madison Square Garden,1610612765,Detroit,Pistons,3,-2836.1
1980,Madison Square Garden,1610612745,Houston,Rockets,1,-3134.3
1980,Madison Square Garden,1610612754,Indiana,Pacers,2,-4758.7
1980,Market Square Arena,1610612738,Boston,Celtics,3,6484.9
1980,Market Square Arena,1610612755,Philadelphia,76ers,3,5077.9
1980,Market Square Arena,1610612747,Los Angeles,Lakers,1,4378.5
1980,Market Square Arena,1610612758,Kansas City,Kings,1,432.7
1980,Market Square Arena,1610612752,New York,Knicks,3,278.3
1980,Market Square Arena,1610612741,Chicago,Bulls,1,-60.3
1980,Market Square Arena,1610612751,New Jersey,Nets,3,-411.2
1980,Market Square Arena,1610612744,Golden State,Warriors,1,-1090.4
1980,Market Square Arena,1610612737,Atlanta,Hawks,3,-1093.1
1980,Market Square Arena,1610612759,San Antonio,Spurs,2,-1190.5
1980,Market Square Arena,1610612739,Cleveland,Cavaliers,3,-1295.1
1980,Market Square Arena,1610612757,Portland,Trail Blazers,1,-1380.0
1980,Market Square Arena,1610612765,Detroit,Pistons,3,-1687.8
1980,Market Square Arena,1610612746,San Diego,Clippers,1,-1847.3
1980,Market Square Arena,1610612743,Denver,Nuggets,1,-1940.8
1980,Market Square Arena,1610612764,Washington,Bullets,3,-2009.9
1980,Market Square Arena,1610612760,Seattle,SuperSonics,1,-2110.2
1980,Market Square Arena,1610612762,Utah,Jazz,1,-2392.7
1980,Market Square Arena,1610612745,Houston,Rockets,3,-2546.7
1980,McNichols Sports Arena,1610612755,Philadelphia,76ers,1,4468.1
1980,McNichols Sports Arena,1610612747,Los Angeles,Lakers,2,2208.6
1980,McNichols Sports Arena,1610612759,San Antonio,Spurs,1,1842.9
1980,McNichols Sports Arena,1610612745,Houston,Rockets,1,1320.5
1980,McNichols Sports Arena,1610612762,Utah,Jazz,2,826.5
1980,McNichols Sports Arena,1610612749,Milwaukee,Bucks,3,815.7
1980,McNichols Sports Arena,1610612741,Chicago,Bulls,3,377.4
1980,McNichols Sports Arena,1610612765,Detroit,Pistons,1,192.3
1980,McNichols Sports Arena,1610612760,Seattle,SuperSonics,3,184.4
1980,McNichols Sports Arena,1610612756,Phoenix,Suns,3,-21.6
1980,McNichols Sports Arena,1610612757,Portland,Trail Blazers,3,-86.9
1980,McNichols Sports Arena,1610612739,Cleveland,Cavaliers,1,-548.5
1980,McNichols Sports Arena,1610612737,Atlanta,Hawks,1,-1009.0
1980,McNichols Sports Arena,1610612754,Indiana,Pacers,1,-1124.4
1980,McNichols Sports Arena,1610612764,Washington,Bullets,1,-1139.8
1980,McNichols Sports Arena,1610612758,Kansas City,Kings,2,-1564.3
1980,McNichols Sports Arena,1610612744,Golden State,Warriors,1,-1615.8
1980,McNichols Sports Arena,1610612752,New York,Knicks,1,-1660.2
1980,McNichols Sports Arena,1610612746,San Diego,Clippers,2,-2423.6
1980,McNichols Sports Arena,1610612751,New Jersey,Nets,1,-2627.6
1980,Memorial Coliseum,1610612737,Atlanta,Hawks,1,0.0
1980,Memorial Coliseum,1610612741,Chicago,Bulls,3,0.0
1980,Memorial Coliseum,1610612743,Denver,Nuggets,2,0.0
1980,Memorial Coliseum,1610612744,Golden State,Warriors,2,0.0
1980,Memorial Coliseum,1610612745,Houston,Rockets,1,0.0
1980,Memorial Coliseum,1610612746,San Diego,Clippers,3,0.0
1980,Memorial Coliseum,1610612747,Los Angeles,Lakers,2,0.0
1980,Memorial Coliseum,1610612749,Milwaukee,Bucks,2,0.0
1980,Memorial Coliseum,1610612751,New Jersey,Nets,1,0.0
1980,Memorial Coliseum,1610612752,New York,Knicks,1,0.0
1980,Memorial Coliseum,1610612754,Indiana,Pacers,1,0.0
1980,Memorial Coliseum,1610612755,Philadelphia,76ers,1,0.0
1980,Memorial Coliseum,1610612756,Phoenix,Suns,3,0.0
1980,Memorial Coliseum,1610612758,Kansas City,Kings,3,0.0
1980,Memorial Coliseum,1610612759,San Antonio,Spurs,1,0.0
1980,Memorial Coliseum,1610612760,Seattle,SuperSonics,3,0.0
1980,Memorial Coliseum,1610612762,Utah,Jazz,1,0.0
1980,Oracle Arena,1610612738,Boston,Celtics,1,4769.8
1980,Oracle Arena,1610612755,Philadelphia,76ers,1,4749.2
1980,Oracle Arena,1610612747,Los Angeles,Lakers,3,4478.0
1980,Oracle Arena,1610612752,New York,Knicks,1,3684.9
1980,Oracle Arena,1610612760,Seattle,SuperSonics,2,1766.3
1980,Oracle Arena,1610612749,Milwaukee,Bucks,2,1054.7
1980,Oracle Arena,1610612759,San Antonio,Spurs,1,225.1
1980,Oracle Arena,1610612764,Washington,Bullets,1,-224.5
1980,Oracle Arena,1610612756,Phoenix,Suns,2,-388.5
1980,Oracle Arena,1610612746,San Diego,Clippers,2,-589.1
1980,Oracle Arena,1610612743,Denver,Nuggets,3,-1114.8
1980,Oracle Arena,1610612745,Houston,Rockets,1,-1528.0
1980,Oracle Arena,1610612758,Kansas City,Kings,3,-1756.3
1980,Oracle Arena,1610612757,Portland,Trail Blazers,2,-1951.4
1980,Oracle Arena,1610612762,Utah,Jazz,3,-1954.6
1980,Oracle Arena,1610612741,Chicago,Bulls,3,-1959.1
1980,Oracle Arena,1610612751,New Jersey,Nets,1,-2088.0
1980,Oracle Arena,1610612739,Cleveland,Cavaliers,1,-2452.0
1980,Pontiac Silverdome,1610612749,Milwaukee,Bucks,1,4867.9
1980,Pontiac Silverdome,1610612738,Boston,Celtics,3,3799.3
1980,Pontiac Silverdome,1610612755,Philadelphia,76ers,3,3540.7
1980,Pontiac Silverdome,1610612757,Portland,Trail Blazers,1,1755.8
1980,Pontiac Silverdome,1610612754,Indiana,Pacers,3,899.0
